"Fmin","Fmin_B","CFI","RMSEA","Size_Of_CR","FC","Number_Of_CR","Location_Of_Misfit","Percent_Missing","Number_of_Missing_Variables","Missing_Mechanism"
0.3063,5.4003,0.9433,0.076,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0.5851,5.9493,0.9017,0.1051,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","Strong MAR"
0,3.8861,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.0246,3.9714,0.9938,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.1029,4.1352,0.9751,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.2408,4.4209,0.9455,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.3906,4.9748,0.9215,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
1e-04,4.0077,1,2e-04,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.0252,4.0954,0.9938,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.1061,4.2564,0.9751,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.2538,4.5424,0.9441,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.4229,5.094,0.917,0.0893,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0,4.4994,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.0281,4.5799,0.9939,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.1204,4.7387,0.9746,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.3051,5.0181,0.9392,0.0759,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0.5811,5.5679,0.8956,0.1047,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","Strong MAR"
0,3.5867,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.0246,3.672,0.9933,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.1029,3.8358,0.9732,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.2408,4.1216,0.9416,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.3906,4.6738,0.9164,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0,3.7039,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.0252,3.7913,0.9934,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.1061,3.9561,0.9732,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.2535,4.2377,0.9402,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.4221,4.7913,0.9119,0.0892,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0,4.1808,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.028,4.26,0.9934,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.1198,4.4209,0.9729,0.0475,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.3034,4.7005,0.9355,0.0756,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0.5747,5.2503,0.8905,0.1041,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","Strong MAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.1029,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.3906,5.3477,0.927,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.0252,4.4668,0.9944,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.1062,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.254,4.9148,0.9483,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.4234,5.4669,0.9226,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.0282,4.961,0.9943,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.1207,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.3063,5.4003,0.9433,0.076,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0.5851,5.9493,0.9017,0.1051,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","Strong MAR"
0,3.5474,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.0246,3.6325,0.9932,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.1029,3.7963,0.9729,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.2408,4.0821,0.941,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.3906,4.6364,0.9158,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
1e-04,3.6681,1,1e-04,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.0252,3.7546,0.9933,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.106,3.9143,0.9729,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.2534,4.2036,0.9397,0.0691,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.4218,4.7536,0.9113,0.0892,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0,4.1375,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.028,4.2199,0.9934,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.1197,4.3784,0.9727,0.0475,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.3028,4.6574,0.935,0.0756,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0.5728,5.2069,0.89,0.104,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%","Four Variables with Missing","Strong MAR"
0,2.9994,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.0246,3.0849,0.992,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.1029,3.2487,0.9684,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.2408,3.5345,0.9319,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.3906,4.0853,0.9044,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0,3.1089,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.0252,3.1959,0.9921,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.1058,3.3591,0.9685,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.2524,3.644,0.9308,0.069,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.4191,4.196,0.9001,0.0889,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
1e-04,3.5328,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.0276,3.6149,0.9924,0.0228,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.118,3.7754,0.9688,0.0472,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.2974,4.0565,0.9267,0.0749,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0.5537,4.6062,0.8798,0.1022,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%","Four Variables with Missing","Strong MAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.1028,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.39,5.3477,0.9271,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.0254,4.4668,0.9943,0.0219,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.1063,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.2542,4.9148,0.9483,0.0693,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.4241,5.4669,0.9224,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.0283,4.961,0.9943,0.0231,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.1208,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.3072,5.4003,0.9431,0.0761,0.3,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
0.5875,5.9493,0.9013,0.1053,0.4,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing","  MCAR"
1e-04,4.0559,1,0,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.0199,4.1245,0.9952,0.0193,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.0836,4.2555,0.9804,0.0397,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.2005,4.4841,0.9553,0.0615,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.3401,4.927,0.931,0.0801,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
1e-04,4.1761,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.0205,4.2452,0.9952,0.0196,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.0861,4.3756,0.9803,0.0403,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.21,4.6037,0.9544,0.0629,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.367,5.0456,0.9273,0.0832,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0,4.6675,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.0227,4.7308,0.9952,0.0207,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.0972,4.8574,0.98,0.0428,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.2488,5.0824,0.9511,0.0685,0.3,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0.5001,5.5218,0.9094,0.0971,0.4,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing","  MCAR"
0,3.7524,1,0,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.0127,3.7945,0.9967,0.0154,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.0535,3.8763,0.9862,0.0318,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.1322,4.0192,0.9671,0.0499,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.2419,4.2977,0.9437,0.0675,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
1e-04,3.8689,1,3e-04,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.013,3.9137,0.9967,0.0156,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.0549,3.9952,0.9863,0.0322,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.1368,4.1379,0.967,0.0508,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.2578,4.4141,0.9416,0.0697,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0,4.3459,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.0143,4.3869,0.9967,0.0164,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.0614,4.466,0.9863,0.034,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.1581,4.6067,0.9657,0.0546,0.3,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0.3392,4.8813,0.9305,0.08,0.4,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%"," Two Variables with Missing","  MCAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.1028,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.39,5.3477,0.9271,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.0254,4.4668,0.9943,0.0219,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.1063,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.2542,4.9148,0.9483,0.0693,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.4241,5.4669,0.9224,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.0283,4.961,0.9943,0.0231,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.1208,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.3072,5.4003,0.9431,0.0761,0.3,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
0.5875,5.9493,0.9013,0.1053,0.4,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%","Four Variables with Missing","  MCAR"
1e-04,3.8885,1,1e-04,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.0198,3.9557,0.995,0.0193,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.0827,4.0869,0.9798,0.0395,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.1958,4.316,0.9546,0.0608,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.3217,4.758,0.9324,0.0779,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
1e-04,4.0035,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.0204,4.072,0.995,0.0196,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.0854,4.2025,0.9797,0.0401,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.206,4.4313,0.9535,0.0623,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.3499,4.8729,0.9282,0.0812,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0,4.4732,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.0227,4.5374,0.995,0.0206,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.0969,4.6635,0.9792,0.0428,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.2476,4.8898,0.9494,0.0683,0.3,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
0.4871,5.3291,0.9086,0.0959,0.4,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%","Four Variables with Missing","  MCAR"
1e-04,3.3319,1,0,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.0125,3.3733,0.9963,0.0153,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.0524,3.4559,0.9848,0.0314,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.1259,3.5983,0.965,0.0487,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.214,3.8762,0.9448,0.0635,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
1e-04,3.438,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.0129,3.4813,0.9963,0.0155,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.0539,3.5635,0.9849,0.0319,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.1317,3.7067,0.9645,0.0498,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.2318,3.9822,0.9418,0.0661,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0,3.8628,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.0143,3.904,0.9964,0.0164,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.061,3.983,0.9847,0.0339,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.1565,4.1235,0.9621,0.0543,0.3,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0.3225,4.3988,0.9267,0.078,0.4,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","50%","Four Variables with Missing","  MCAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.1028,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.39,5.3477,0.9271,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.0254,4.4668,0.9943,0.0219,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.1063,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.2542,4.9148,0.9483,0.0693,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.4241,5.4669,0.9224,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.0283,4.961,0.9943,0.0231,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.1208,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.3072,5.4003,0.9431,0.0761,0.3,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0.5875,5.9493,0.9013,0.1053,0.4,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","0%"," Two Variables with Missing"," Weak MAR"
0,3.8299,1,0,0,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0159,3.8877,0.9959,0.0173,0.1,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0669,3.9928,0.9832,0.0355,0.2,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.1605,4.1804,0.9616,0.055,0.3,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.2761,4.5393,0.9392,0.0722,0.4,"Factor Correlation = 0","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0,3.9493,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0165,4.0084,0.9959,0.0176,0.1,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0692,4.1134,0.9832,0.0361,0.2,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.1682,4.2994,0.9609,0.0563,0.3,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.2956,4.6577,0.9365,0.0747,0.4,"Factor Correlation = 0.4","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0,4.4344,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0182,4.4866,0.9959,0.0185,0.1,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
0.0778,4.5926,0.9831,0.0383,0.2,"Factor Correlation = 0.8","One Correlated Residual","Same Factor","20%"," Two Variables with Missing"," Weak MAR"
